Tempo (s),PWM,Temperatura (ºC)
0.00038361549377441406,25,0.0
7.195091485977173,51,29.667644183773213
7.463804244995117,76,29.17888563049853
7.8707146644592285,102,29.17888563049853
8.874376058578491,127,28.69012707722385
9.852581262588501,153,29.17888563049853
10.904170751571655,178,29.667644183773213
11.899834156036377,204,29.667644183773213
12.901830434799194,229,29.17888563049853
13.925142049789429,255,30.156402737047895
14.9527006149292,255,28.69012707722385
15.931026220321655,255,29.667644183773213
17.025087594985962,255,29.667644183773213
17.99791431427002,255,29.17888563049853
18.965094566345215,255,29.17888563049853
19.99605131149292,255,29.17888563049853
20.987022161483765,255,29.667644183773213
22.008671045303345,255,29.667644183773213
23.005670070648193,255,30.156402737047895
24.04777503013611,255,29.667644183773213
25.025506258010864,255,30.156402737047895
26.019290685653687,255,29.667644183773213
27.030674695968628,255,30.156402737047895
28.04737877845764,255,30.645161290322577
29.12864065170288,255,30.156402737047895
30.03093147277832,255,30.156402737047895
31.08378553390503,255,30.645161290322577
32.072481632232666,255,30.645161290322577
33.094924211502075,255,31.13391984359726
34.09545183181763,255,31.13391984359726
35.117987871170044,255,30.645161290322577
36.16773176193237,255,31.13391984359726
37.11907243728638,255,31.62267839687194
38.131508111953735,255,32.11143695014662
39.1480655670166,255,32.11143695014662
40.15980052947998,255,31.62267839687194
41.15171504020691,255,32.11143695014662
42.212684631347656,255,31.62267839687194
43.16894245147705,255,31.62267839687194
44.17908215522766,255,32.600195503421304
45.20083785057068,255,32.600195503421304
46.21145987510681,255,32.600195503421304
47.19155478477478,255,33.08895405669598
48.27277684211731,255,33.08895405669598
49.208439350128174,255,33.57771260997067
50.255197525024414,255,33.08895405669598
51.247554063797,255,34.066471163245346
52.22941184043884,255,33.57771260997067
53.3081271648407,255,34.55522971652003
54.28725576400757,255,34.066471163245346
55.301352977752686,255,34.55522971652003
56.30692958831787,255,35.04398826979471
57.3184597492218,255,35.04398826979471
58.326451539993286,255,35.532746823069395
59.32406783103943,255,35.532746823069395
60.36010670661926,255,35.532746823069395
61.386497259140015,255,36.021505376344095
62.36410689353943,255,35.532746823069395
63.42153024673462,255,36.021505376344095
64.3560516834259,255,35.532746823069395
65.50274157524109,255,36.999022482893466
66.41984724998474,255,36.51026392961878
67.44587206840515,255,36.51026392961878
68.39702606201172,255,37.487781036168144
69.42709302902222,255,37.487781036168144
70.40964913368225,255,37.487781036168144
71.41655707359314,255,37.487781036168144
72.48293900489807,255,37.97653958944282
73.48907542228699,255,38.46529814271751
74.52368116378784,255,38.46529814271751
75.47851395606995,255,38.46529814271751
76.51190614700317,255,38.95405669599219
77.54094409942627,255,38.46529814271751
78.5622763633728,255,39.44281524926687
79.53740429878235,255,39.93157380254155
80.58142757415771,255,39.93157380254155
81.57979393005371,255,39.93157380254155
82.57752585411072,255,39.44281524926687
83.56801247596741,255,40.420332355816235
84.55948114395142,255,40.90909090909092
85.57445502281189,255,40.420332355816235
86.60879755020142,229,41.3978494623656
87.60289025306702,204,41.88660801564028
88.63504934310913,178,41.3978494623656
89.60535430908203,153,42.37536656891496
90.67115116119385,127,41.88660801564028
91.64694619178772,102,42.37536656891496
92.66039085388184,76,42.37536656891496
93.65379667282104,51,42.86412512218965
94.62174487113953,76,42.37536656891496
95.6571364402771,51,42.86412512218965
96.63951206207275,51,42.86412512218965
97.68353915214539,25,43.841642228739005
98.69754362106323,0,43.841642228739005
99.76243114471436,0,43.841642228739005
100.69863390922546,25,43.35288367546433
101.73383569717407,0,43.841642228739005
102.72226762771606,0,44.33040078201369
103.72678232192993,0,44.33040078201369
104.76139259338379,0,45.307917888563054
105.81124639511108,15,44.33040078201369
106.83347630500793,0,45.307917888563054
107.78825235366821,0,45.307917888563054
108.78721785545349,25,44.33040078201369
109.82355332374573,0,45.79667644183773
110.79974746704102,0,45.79667644183773
111.8859133720398,0,45.79667644183773
112.83664011955261,0,45.79667644183773
113.83551669120789,0,45.79667644183773
114.84946918487549,0,46.28543499511242
115.89053273200989,0,45.79667644183773
116.890132188797,23,45.79667644183773
117.87027645111084,0,46.28543499511242
118.95504713058472,0,46.7741935483871
119.86796808242798,0,46.28543499511242
120.89605784416199,7,46.28543499511242
121.95508980751038,0,46.7741935483871
122.91950702667236,25,46.28543499511242
123.9429976940155,0,46.7741935483871
124.97737336158752,25,46.28543499511242
125.93898034095764,0,46.7741935483871
126.96725821495056,25,46.28543499511242
127.99276947975159,48,46.28543499511242
129.00162029266357,45,46.28543499511242
130.03491640090942,41,46.28543499511242
131.0515375137329,15,46.7741935483871
131.9871027469635,0,46.7741935483871
133.0489468574524,0,46.7741935483871
134.03481197357178,0,46.7741935483871
135.0166175365448,25,46.28543499511242
136.07107281684875,0,46.7741935483871
137.03069281578064,0,46.7741935483871
138.10159158706665,0,47.26295210166178
139.08140087127686,0,46.7741935483871
140.08478784561157,0,46.7741935483871
141.10250854492188,0,46.7741935483871
142.1127314567566,25,46.28543499511242
143.1175513267517,37,46.28543499511242
144.15506720542908,34,46.28543499511242
145.14226460456848,30,46.28543499511242
146.15104126930237,5,46.7741935483871
147.1848647594452,0,46.7741935483871
148.16279673576355,0,47.75171065493646
149.17853307724,0,46.7741935483871
150.22323870658875,25,46.28543499511242
151.20802545547485,0,47.26295210166178
152.210834980011,25,46.28543499511242
153.2228479385376,26,46.28543499511242
154.20264530181885,25,46.28543499511242
155.21731185913086,0,46.7741935483871
156.2559142112732,0,46.7741935483871
157.28082060813904,0,46.7741935483871
